"media_id","source","media_type","title","image","season_number","episode_number","score","status","notes","start_date","end_date","repeats","progress"
"117648","tmdb","tv","Clarkson's Farm","https://image.tmdb.org/t/p/w500/yKc3FqwD2eanWBUwqcRH7bChE3V.jpg","","","","In progress","","2024-05-03","2024-05-12","0","24"
"1408","tmdb","tv","House","https://image.tmdb.org/t/p/w500/3Cz7ySOQJmqiuTdrc6CY0r65yDI.jpg","","","","Completed","","2024-05-04","2025-01-17","1","171"
"60574","tmdb","tv","Peaky Blinders","https://image.tmdb.org/t/p/w500/vUUqzWa2LnHIVqkaKVlVGkVcZIW.jpg","","","","Completed","","2024-05-04","2024-05-04","0","36"
"73586","tmdb","tv","Yellowstone","https://image.tmdb.org/t/p/w500/peNC0eyc3TQJa6x4TdKcBPNP4t0.jpg","","","","In progress","","2022-03-11","2025-03-10","2","43"
"118357","tmdb","tv","1883","https://image.tmdb.org/t/p/w500/waLbm384SQDwLTCn6ttPqQS5kfV.jpg","","","","In progress","","2023-01-25","2023-02-05","0","5"
"41727","tmdb","tv","Banshee","https://image.tmdb.org/t/p/w500/5nXFiz8Rn8eezVjSTZBd7HmnF1G.jpg","","","","In progress","","2022-09-26","2022-11-02","0","10"
"108978","tmdb","tv","Reacher","https://image.tmdb.org/t/p/w500/jFuH0md41x5mB4qj5344mSmtHrO.jpg","","","","In progress","","2022-08-02","2025-03-13","0","22"
"116799","tmdb","tv","The Lincoln Lawyer","https://image.tmdb.org/t/p/w500/9TaupczRcEkOaYbsiQuLg3kXPLq.jpg","","","","In progress","","2022-05-13","2023-09-01","0","16"
"63174","tmdb","tv","Lucifer","https://image.tmdb.org/t/p/w500/ekZobS8isE6mA53RAiGDG93hBxL.jpg","","","","In progress","","2023-05-21","2023-06-04","0","5"
"46952","tmdb","tv","The Blacklist","https://image.tmdb.org/t/p/w500/r935SMphvXppx5bJjbIBNx02fwc.jpg","","","","In progress","","2022-12-28","2023-05-06","0","27"
"70128","tmdb","tv","Genius","https://image.tmdb.org/t/p/w500/waCykVbku2Amh0revf535SOnlmm.jpg","","","","Planning","","","","0","0"
"157744","tmdb","tv","1923","https://image.tmdb.org/t/p/w500/zgZRJZvZn5cpsWAB0zMUdad3iZd.jpg","","","","Planning","","","","0","0"
"73375","tmdb","tv","Tom Clancy's Jack Ryan","https://image.tmdb.org/t/p/w500/cO4py3L3q5GNPrA0qr1wVDrosK1.jpg","","","","Planning","","","","0","0"
"197588","tmdb","tv","Man Vs Bee","https://image.tmdb.org/t/p/w500/c80mxgOPvSWJBcgWoI5bf3et5Ws.jpg","","","","Planning","","","","0","0"
"96723","tmdb","tv","James May: Our Man in…","https://image.tmdb.org/t/p/w500/qIoGE9kSuBE5NiaLclNDfHTpwhu.jpg","","","","Planning","","","","0","0"
"1409","tmdb","tv","Sons of Anarchy","https://image.tmdb.org/t/p/w500/yPLkf4EiCkR0NOvMfmpHMA2zfN3.jpg","","","","Planning","","","","0","0"
"37680","tmdb","tv","Suits","https://image.tmdb.org/t/p/w500/vQiryp6LioFxQThywxbC6TuoDjy.jpg","","","","Planning","","","","0","0"
"76479","tmdb","tv","The Boys","https://image.tmdb.org/t/p/w500/7Ns6tO3aYjppI5bFhyYZurOYGBT.jpg","","","","Planning","","","","0","0"
